"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "C++", "XML", "Properties", "Swift", "Groovy", "comment", "blank", "total"
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\main.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 8, 58
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\models\preferences_list_pages.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\models\product.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 2, 17, 126
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\models\recipe.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\models\tutorial_list_pages.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\providers\products_data_provider.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 17, 83
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\fridge_screen.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 10, 26, 266
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\login\log_in.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 8, 13, 167
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\login\sign_in.dart", "Dart", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 8, 15, 250
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\login\sign_in_with_google.dart", "Dart", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 13, 16, 281
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\preferences_screen.dart", "Dart", 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 2, 14, 421
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\about_us_screen.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\contact_screen.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\edit_preferences_screen.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\edit_profile_screen.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 5, 19, 230
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\edit_units_screen.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\legal_screen.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\profile\profile_screen.dart", "Dart", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 10, 187
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\recipes\add_recipe_form.dart", "Dart", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 17, 10, 171
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\recipes\recipe_detail_screen.dart", "Dart", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 65, 28, 533
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\recipes\recipes_screen.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\scanner_screen.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 33, 19, 132
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\search_screen.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 7, 97
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\tabs_screens.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 13, 123
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\tutorial\tutorial_screen.dart", "Dart", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 2, 7, 126
"c:\Users\cadyj\Google Drive\UAB\Ano 3\Cuatri 2\LIS\Flutter\CartRecipe\cartrecipe\lib\screens\welcome.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 2, 4, 78
